City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,wailua homesteads,22.0669,-159.378,22.44,86,100,6.17,US,2025-03-20 12:13:15
1,bethel,41.3712,-73.414,5.18,92,99,0.89,US,2025-03-20 12:13:16
2,bodaybo,57.8506,114.1933,-11.28,93,100,0.5,RU,2025-03-20 12:13:17
3,waitangi,-43.9535,-176.5597,13.79,90,93,0.89,NZ,2025-03-20 12:13:18
4,wickenburg,33.9686,-112.7296,8.33,32,63,0.89,US,2025-03-20 12:13:19
5,puerto natales,-51.7236,-72.4875,7.25,87,75,5.66,CL,2025-03-20 12:13:21
6,invercargill,-46.4,168.35,11.12,94,0,1.73,NZ,2025-03-20 12:13:22
7,longyearbyen,78.2186,15.6401,-12.09,67,75,9.26,SJ,2025-03-20 12:13:23
8,kos,36.8933,27.2889,12.69,47,0,12.2,GR,2025-03-20 12:13:24
9,centar zupa,41.4681,20.5589,10.34,32,0,2.15,MK,2025-03-20 12:13:25
10,howrah,22.5892,88.3103,31.0,42,40,1.54,IN,2025-03-20 12:13:26
11,grytviken,-54.2811,-36.5092,7.07,94,84,4.01,GS,2025-03-20 12:13:28
12,mega,4.05,38.3,26.69,32,50,7.21,ET,2025-03-20 12:13:29
13,happy valley-goose bay,53.3168,-60.3315,-1.87,82,100,4.03,CA,2025-03-20 12:13:30
14,tura,25.5198,90.2201,27.18,29,1,0.75,IN,2025-03-20 12:13:31
15,papatowai,-46.5619,169.4708,13.15,81,0,1.53,NZ,2025-03-20 12:13:32
16,nuuk,64.1835,-51.7216,-7.66,67,40,4.63,GL,2025-03-20 12:13:34
17,tsetserleg,47.475,101.4542,3.93,47,1,2.02,MN,2025-03-20 12:13:35
18,yellowknife,62.456,-114.3525,-31.96,100,12,1.8,CA,2025-03-20 12:13:36
19,bar-sur-aube,48.25,4.5833,16.51,53,43,5.12,FR,2025-03-20 12:13:37
20,petropavlovsk-kamchatsky,53.0452,158.6483,-5.67,86,100,3.0,RU,2025-03-20 12:10:43
21,iqaluit,63.7506,-68.5145,-22.95,76,99,0.81,CA,2025-03-20 12:13:39
